timestamp,open,high,low,close
1704067200000,2062.688,2062.688,2062.688,2062.688
1704068100000,2062.688,2062.688,2062.688,2062.688
1704069000000,2062.688,2062.688,2062.688,2062.688
1704069900000,2062.688,2062.688,2062.688,2062.688
1704070800000,2062.688,2062.688,2062.688,2062.688
1704071700000,2062.688,2062.688,2062.688,2062.688
1704072600000,2062.688,2062.688,2062.688,2062.688
1704073500000,2062.688,2062.688,2062.688,2062.688
1704074400000,2062.688,2062.688,2062.688,2062.688
1704075300000,2062.688,2062.688,2062.688,2062.688
1704076200000,2062.688,2062.688,2062.688,2062.688
1704077100000,2062.688,2062.688,2062.688,2062.688
1704078000000,2062.688,2062.688,2062.688,2062.688
1704078900000,2062.688,2062.688,2062.688,2062.688
1704079800000,2062.688,2062.688,2062.688,2062.688
1704080700000,2062.688,2062.688,2062.688,2062.688
1704081600000,2062.688,2062.688,2062.688,2062.688
1704082500000,2062.688,2062.688,2062.688,2062.688
1704083400000,2062.688,2062.688,2062.688,2062.688
1704084300000,2062.688,2062.688,2062.688,2062.688
1704085200000,2062.688,2062.688,2062.688,2062.688
1704086100000,2062.688,2062.688,2062.688,2062.688
1704087000000,2062.688,2062.688,2062.688,2062.688
1704087900000,2062.688,2062.688,2062.688,2062.688
1704088800000,2062.688,2062.688,2062.688,2062.688
1704089700000,2062.688,2062.688,2062.688,2062.688
1704090600000,2062.688,2062.688,2062.688,2062.688
1704091500000,2062.688,2062.688,2062.688,2062.688
1704092400000,2062.688,2062.688,2062.688,2062.688
1704093300000,2062.688,2062.688,2062.688,2062.688
1704094200000,2062.688,2062.688,2062.688,2062.688
1704095100000,2062.688,2062.688,2062.688,2062.688
1704096000000,2062.688,2062.688,2062.688,2062.688
1704096900000,2062.688,2062.688,2062.688,2062.688
1704097800000,2062.688,2062.688,2062.688,2062.688
1704098700000,2062.688,2062.688,2062.688,2062.688
1704099600000,2062.688,2062.688,2062.688,2062.688
1704100500000,2062.688,2062.688,2062.688,2062.688
1704101400000,2062.688,2062.688,2062.688,2062.688
1704102300000,2062.688,2062.688,2062.688,2062.688
1704103200000,2062.688,2062.688,2062.688,2062.688
1704104100000,2062.688,2062.688,2062.688,2062.688
1704105000000,2062.688,2062.688,2062.688,2062.688
1704105900000,2062.688,2062.688,2062.688,2062.688
1704106800000,2062.688,2062.688,2062.688,2062.688
1704107700000,2062.688,2062.688,2062.688,2062.688
1704108600000,2062.688,2062.688,2062.688,2062.688
1704109500000,2062.688,2062.688,2062.688,2062.688
1704110400000,2062.688,2062.688,2062.688,2062.688
1704111300000,2062.688,2062.688,2062.688,2062.688
1704112200000,2062.688,2062.688,2062.688,2062.688
1704113100000,2062.688,2062.688,2062.688,2062.688
1704114000000,2062.688,2062.688,2062.688,2062.688
1704114900000,2062.688,2062.688,2062.688,2062.688
1704115800000,2062.688,2062.688,2062.688,2062.688
1704116700000,2062.688,2062.688,2062.688,2062.688
1704117600000,2062.688,2062.688,2062.688,2062.688
1704118500000,2062.688,2062.688,2062.688,2062.688
1704119400000,2062.688,2062.688,2062.688,2062.688
1704120300000,2062.688,2062.688,2062.688,2062.688
1704121200000,2062.688,2062.688,2062.688,2062.688
1704122100000,2062.688,2062.688,2062.688,2062.688
1704123000000,2062.688,2062.688,2062.688,2062.688
1704123900000,2062.688,2062.688,2062.688,2062.688
1704124800000,2062.688,2062.688,2062.688,2062.688
1704125700000,2062.688,2062.688,2062.688,2062.688
1704126600000,2062.688,2062.688,2062.688,2062.688
1704127500000,2062.688,2062.688,2062.688,2062.688
1704128400000,2062.688,2062.688,2062.688,2062.688
1704129300000,2062.688,2062.688,2062.688,2062.688
1704130200000,2062.688,2062.688,2062.688,2062.688
1704131100000,2062.688,2062.688,2062.688,2062.688
1704132000000,2062.688,2062.688,2062.688,2062.688
1704132900000,2062.688,2062.688,2062.688,2062.688
1704133800000,2062.688,2062.688,2062.688,2062.688
1704134700000,2062.688,2062.688,2062.688,2062.688
1704135600000,2062.688,2062.688,2062.688,2062.688
1704136500000,2062.688,2062.688,2062.688,2062.688
1704137400000,2062.688,2062.688,2062.688,2062.688
1704138300000,2062.688,2062.688,2062.688,2062.688
1704139200000,2062.688,2062.688,2062.688,2062.688
1704140100000,2062.688,2062.688,2062.688,2062.688
1704141000000,2062.688,2062.688,2062.688,2062.688
1704141900000,2062.688,2062.688,2062.688,2062.688
1704142800000,2062.688,2062.688,2062.688,2062.688
1704143700000,2062.688,2062.688,2062.688,2062.688
1704144600000,2062.688,2062.688,2062.688,2062.688
1704145500000,2062.688,2062.688,2062.688,2062.688
1704146400000,2062.688,2062.688,2062.688,2062.688
1704147300000,2062.688,2062.688,2062.688,2062.688
1704148200000,2062.688,2062.688,2062.688,2062.688
1704149100000,2062.688,2062.688,2062.688,2062.688
1704150000000,2062.598,2066.595,2062.405,2065.734
1704150900000,2065.715,2066.075,2065.045,2065.075
1704151800000,2065.155,2065.405,2064.155,2064.465
1704152700000,2064.425,2064.435,2063.105,2063.615
1704153600000,2063.625,2064.865,2063.335,2063.985
1704154500000,2064.045,2064.355,2062.275,2063.345
1704155400000,2063.345,2064.655,2062.935,2064.655
1704156300000,2064.655,2065.778,2064.475,2065.358
