timestamp,open,high,low,close
1704067200000,2062.688,2062.688,2062.688,2062.688
1704081600000,2062.688,2062.688,2062.688,2062.688
1704096000000,2062.688,2062.688,2062.688,2062.688
1704110400000,2062.688,2062.688,2062.688,2062.688
1704124800000,2062.688,2062.688,2062.688,2062.688
1704139200000,2062.688,2066.595,2062.405,2063.615
1704153600000,2063.625,2070.285,2062.275,2069.528
1704168000000,2069.528,2076.665,2068.775,2073.048
1704182400000,2073.015,2078.825,2068.205,2069.145
1704196800000,2069.105,2070.965,2055.818,2059.265
1704211200000,2059.305,2067.515,2059.075,2060.825
1704225600000,2060.885,2061.545,2057.915,2059.455
1704240000000,2059.475,2065.525,2059.094,2065.025
1704254400000,2064.965,2065.835,2060.795,2062.928
1704268800000,2062.835,2064.228,2046.594,2047.485
1704283200000,2047.505,2048.698,2031.665,2032.495
1704297600000,2032.545,2042.205,2030.515,2036.575
1704312000000,2036.595,2043.835,2036.435,2042.895
1704326400000,2042.865,2046.808,2040.055,2044.518
1704340800000,2044.498,2049.445,2042.345,2047.615
1704355200000,2047.615,2050.855,2044.828,2045.065
1704369600000,2044.995,2047.625,2036.155,2045.025
1704384000000,2045.075,2046.675,2040.765,2044.285
1704398400000,2044.265,2044.785,2042.725,2044.098
1704412800000,2044.128,2048.155,2043.225,2045.235
1704427200000,2045.265,2046.925,2040.805,2042.995
1704441600000,2043.005,2044.238,2037.035,2039.155
1704456000000,2039.155,2063.838,2024.255,2054.745
1704470400000,2054.815,2056.155,2040.335,2045.635
1704484800000,2045.655,2046.068,2042.785,2045.355
1704499200000,2045.355,2045.355,2045.355,2045.355
1704513600000,2045.355,2045.355,2045.355,2045.355
1704528000000,2045.355,2045.355,2045.355,2045.355
1704542400000,2045.355,2045.355,2045.355,2045.355
1704556800000,2045.355,2045.355,2045.355,2045.355
1704571200000,2045.355,2045.355,2045.355,2045.355
1704585600000,2045.355,2045.355,2045.355,2045.355
1704600000000,2045.355,2045.355,2045.355,2045.355
1704614400000,2045.355,2045.355,2045.355,2045.355
1704628800000,2045.355,2045.355,2045.355,2045.355
1704643200000,2045.355,2045.355,2045.355,2045.355
1704657600000,2045.355,2045.565,2042.805,2044.195
1704672000000,2044.235,2046.525,2034.975,2036.015
1704686400000,2036.075,2037.555,2026.925,2031.355
1704700800000,2031.305,2031.685,2016.604,2019.958
1704715200000,2019.958,2034.675,2018.345,2034.115
1704729600000,2034.105,2036.778,2026.295,2029.285
1704744000000,2029.265,2030.835,2025.978,2030.665
1704758400000,2030.665,2035.775,2030.615,2033.565
1704772800000,2033.505,2037.145,2030.245,2035.885
1704787200000,2035.955,2038.428,2031.145,2034.935
1704801600000,2034.925,2041.898,2028.665,2028.735
1704816000000,2028.755,2031.945,2026.015,2028.735
1704830400000,2028.845,2031.125,2028.205,2030.665
1704844800000,2030.674,2032.785,2027.145,2028.845
1704859200000,2028.835,2031.595,2023.795,2030.905
1704873600000,2030.925,2040.135,2030.165,2033.925
1704888000000,2033.905,2035.555,2024.685,2027.795
1704902400000,2027.835,2028.395,2020.395,2023.938
1704916800000,2023.875,2027.865,2021.725,2026.695
1704931200000,2026.735,2031.808,2026.505,2030.835
1704945600000,2030.795,2035.655,2030.795,2033.805
1704960000000,2033.795,2034.305,2030.125,2034.235
1704974400000,2034.285,2043.864,2024.825,2028.945
1704988800000,2028.955,2029.505,2013.225,2026.345
1705003200000,2026.355,2035.455,2023.395,2035.125
1705017600000,2035.055,2035.575,2029.975,2033.865
1705032000000,2033.835,2039.275,2032.698,2037.405
1705046400000,2037.375,2047.305,2036.945,2045.315
1705060800000,2045.355,2062.145,2044.258,2053.595
1705075200000,2053.615,2055.455,2041.325,2047.225
1705089600000,2047.275,2049.138,2045.965,2048.675
1705104000000,2048.675,2048.675,2048.675,2048.675
1705118400000,2048.675,2048.675,2048.675,2048.675
1705132800000,2048.675,2048.675,2048.675,2048.675
1705147200000,2048.675,2048.675,2048.675,2048.675
1705161600000,2048.675,2048.675,2048.675,2048.675
1705176000000,2048.675,2048.675,2048.675,2048.675
1705190400000,2048.675,2048.675,2048.675,2048.675
1705204800000,2048.675,2048.675,2048.675,2048.675
1705219200000,2048.675,2048.675,2048.675,2048.675
1705233600000,2048.675,2048.675,2048.675,2048.675
1705248000000,2048.675,2048.675,2048.675,2048.675
1705262400000,2048.675,2048.675,2046.235,2047.505
1705276800000,2047.525,2057.985,2045.675,2057.305
1705291200000,2057.285,2057.465,2052.765,2054.175
1705305600000,2054.215,2058.505,2051.465,2053.225
1705320000000,2053.255,2054.315,2049.29,2053.125
1705334400000,2053.108,2056.218,2053.078,2054.505
1705348800000,2054.505,2055.495,2053.228,2053.895
1705363200000,2054.025,2054.435,2048.265,2049.435
1705377600000,2049.435,2050.825,2047.285,2049.315
1705392000000,2049.295,2050.035,2038.124,2039.785
1705406400000,2039.775,2044.915,2031.275,2041.035
1705420800000,2041.095,2041.195,2024.165,2029.205
1705435200000,2029.185,2029.705,2025.728,2028.045
1705449600000,2028.055,2032.815,2023.288,2023.955
1705464000000,2023.915,2026.085,2017.598,2025.705
1705478400000,2025.695,2028.265,2018.915,2023.805
1705492800000,2023.835,2028.898,2006.095,2008.795
1705507200000,2008.805,2011.895,2001.755,2005.455
1705521600000,2005.515,2009.805,2004.675,2009.465
1705536000000,2009.505,2012.055,2006.345,2007.975
1705550400000,2007.955,2014.045,2005.705,2012.198
1705564800000,2012.218,2013.405,2008.075,2012.505
1705579200000,2012.525,2017.155,2007.175,2013.525
1705593600000,2013.515,2021.025,2012.985,2019.725
1705608000000,2019.725,2024.555,2019.725,2023.675
1705622400000,2023.675,2025.475,2021.895,2022.805
1705636800000,2022.815,2029.625,2020.325,2027.945
1705651200000,2027.895,2031.875,2026.105,2031.555
1705665600000,2031.605,2039.278,2023.035,2027.645
1705680000000,2027.645,2029.425,2023.175,2029.075
1705694400000,2029.075,2029.815,2027.655,2029.375
1705708800000,2029.375,2029.375,2029.375,2029.375
1705723200000,2029.375,2029.375,2029.375,2029.375
1705737600000,2029.375,2029.375,2029.375,2029.375
1705752000000,2029.375,2029.375,2029.375,2029.375
1705766400000,2029.375,2029.375,2029.375,2029.375
