datetime,open,high,low,close,volume
2023-04-27 15:00:00,1999.84998,2003.20996,1997.40002,1998.26001,
2023-04-27 19:00:00,1998.10999,2003.31995,1982.10999,1985.63,
2023-04-27 23:00:00,1985.82996,1988.84998,1974.30005,1984.38,
2023-04-28 03:00:00,1984.54004,1991.14001,1983.80005,1987.84998,
2023-04-28 07:00:00,1987.78003,1988.069946,1985.68005,1985.93994,
2023-04-28 11:00:00,1986.060059,1991.56006,1985.089966,1987.44995,
2023-04-28 15:00:00,1987.35999,1989.60999,1979.98999,1983.48999,
2023-04-28 19:00:00,1983.48999,1987.33997,1976.43005,1984.31006,
2023-04-28 23:00:00,1984.34998,1994.85999,1982.18994,1991.55005,
2023-04-29 03:00:00,1991.73999,1992.87,1987.62,1990.060059,
2023-05-01 07:00:00,1990.050049,1991.95996,1983.81006,1984.01001,
2023-05-01 11:00:00,1984.040039,1986.43005,1980.70996,1984.29004,
2023-05-01 15:00:00,1984.20996,1984.26001,1977.19995,1977.42004,
2023-05-01 19:00:00,1977.34998,2005.32996,1977.18994,2004.099976,
2023-05-01 23:00:00,2004.35999,2006.01001,1980.030029,1981.73999,
2023-05-02 03:00:00,1981.70996,1984.099976,1979.46997,1982.62,
2023-05-02 07:00:00,1982.23999,1983.76001,1980.84998,1982.19995,
2023-05-02 11:00:00,1982.26001,1985.23999,1981.45996,1982.34998,
2023-05-02 15:00:00,1982.33997,1985.68005,1978.56006,1981.34998,
2023-05-02 19:00:00,1981.21997,1990.14001,1980.56995,1985.82996,
2023-05-02 23:00:00,1985.62,2019.43005,1984.58997,2015.23999,
2023-05-03 03:00:00,2015.59998,2018.39001,2011.31995,2016.71997,
2023-05-03 07:00:00,2016.12,2017.060059,2014.28003,2016.40002,
2023-05-03 11:00:00,2016.40002,2019.56995,2015.88,2016.01001,
2023-05-03 15:00:00,2016.069946,2018.79004,2012.67004,2015.68005,
2023-05-03 19:00:00,2015.68005,2017.48999,2008.40002,2013.81006,
2023-05-03 23:00:00,2013.79004,2026.89001,2011.95996,2024.17004,
2023-05-04 03:00:00,2024.069946,2040.51001,2017.20996,2038.76001,
2023-05-04 07:00:00,2060.44995,2080.71997,2045.23999,2054.53003,
2023-05-04 11:00:00,2054.53003,2054.96997,2038.53003,2044.32996,
2023-05-04 15:00:00,2044.069946,2045.48999,2030.40002,2034.56006,
